rownum,emoji,grp_subgrp,desc,person_animal_other,anthro_type,gender,skin_tone,shape_type,shape_color,direction,sentiment_smileys_binary,cldr short name,codepoint,status,group,subgroup,char_len,version
97,💀,Smileys & Emotion_face-negative,anthropomorphic,other,face,neutral,neutral,,,,,skull,1F480,fully-qualified,Smileys & Emotion,face-negative,1,E0.6
98,☠️,Smileys & Emotion_face-negative,anthropomorphic,other,face,neutral,neutral,,,,,skull and crossbones,2620 FE0F,fully-qualified,Smileys & Emotion,face-negative,2,E1.0
99,☠,Smileys & Emotion_face-negative,anthropomorphic,other,face,neutral,neutral,,,,,skull and crossbones,2620,unqualified,Smileys & Emotion,face-negative,1,E1.0
100,💩,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,pile of poo,1F4A9,fully-qualified,Smileys & Emotion,face-costume,1,E0.6
101,🤡,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,clown face,1F921,fully-qualified,Smileys & Emotion,face-costume,1,E3.0
102,👹,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,ogre,1F479,fully-qualified,Smileys & Emotion,face-costume,1,E0.6
103,👺,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,goblin,1F47A,fully-qualified,Smileys & Emotion,face-costume,1,E0.6
104,👻,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,ghost,1F47B,fully-qualified,Smileys & Emotion,face-costume,1,E0.6
105,👽,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,alien,1F47D,fully-qualified,Smileys & Emotion,face-costume,1,E0.6
106,👾,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,alien monster,1F47E,fully-qualified,Smileys & Emotion,face-costume,1,E0.6
107,🤖,Smileys & Emotion_face-costume,anthropomorphic,other,face,neutral,neutral,,,,,robot,1F916,fully-qualified,Smileys & Emotion,face-costume,1,E1.0
108,😺,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,1,grinning cat,1F63A,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
109,😸,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,1,grinning cat with smiling eyes,1F638,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
110,😹,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,1,cat with tears of joy,1F639,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
111,😻,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,1,smiling cat with heart-eyes,1F63B,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
112,😼,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,-1,cat with wry smile,1F63C,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
113,😽,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,1,kissing cat,1F63D,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
114,🙀,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,-1,weary cat,1F640,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
115,😿,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,-1,crying cat,1F63F,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
116,😾,Smileys & Emotion_cat-face,anthropomorphic,animal,face-gesture,neutral,other,,,,,pouting cat,1F63E,fully-qualified,Smileys & Emotion,cat-face,1,E0.6
117,🙈,Smileys & Emotion_monkey-face,anthropomorphic,animal,body-gesture,neutral,other,,,,,0,1F648,fully-qualified,Smileys & Emotion,monkey-face,1,E0.6
118,🙉,Smileys & Emotion_monkey-face,anthropomorphic,animal,body-gesture,neutral,other,,,,,0,1F649,fully-qualified,Smileys & Emotion,monkey-face,1,E0.6
119,🙊,Smileys & Emotion_monkey-face,anthropomorphic,animal,body-gesture,neutral,other,,,,,0,1F64A,fully-qualified,Smileys & Emotion,monkey-face,1,E0.6
120,💋,Smileys & Emotion_emotion,,,,,,,,,,kiss mark,1F48B,fully-qualified,Smileys & Emotion,emotion,1,E0.6
121,💌,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,love letter,1F48C,fully-qualified,Smileys & Emotion,emotion,1,E0.6
122,💘,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,heart with arrow,1F498,fully-qualified,Smileys & Emotion,emotion,1,E0.6
123,💝,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,heart with ribbon,1F49D,fully-qualified,Smileys & Emotion,emotion,1,E0.6
124,💖,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,sparkling heart,1F496,fully-qualified,Smileys & Emotion,emotion,1,E0.6
125,💗,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,growing heart,1F497,fully-qualified,Smileys & Emotion,emotion,1,E0.6
126,💓,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,beating heart,1F493,fully-qualified,Smileys & Emotion,emotion,1,E0.6
127,💞,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,revolving hearts,1F49E,fully-qualified,Smileys & Emotion,emotion,1,E0.6
128,💕,Smileys & Emotion_emotion,shape,,,,,heart,varies,,,two hearts,1F495,fully-qualified,Smileys & Emotion,emotion,1,E0.6
129,💟,Smileys & Emotion_emotion,shape,,,,,heart,purple,,,heart decoration,1F49F,fully-qualified,Smileys & Emotion,emotion,1,E0.6
130,❣️,Smileys & Emotion_emotion,shape,,,,,heart,red,,,heart exclamation,2763 FE0F,fully-qualified,Smileys & Emotion,emotion,2,E1.0
131,❣,Smileys & Emotion_emotion,shape,,,,,heart,red,,,heart exclamation,2763,unqualified,Smileys & Emotion,emotion,1,E1.0
132,💔,Smileys & Emotion_emotion,shape,,,,,heart,red,,,broken heart,1F494,fully-qualified,Smileys & Emotion,emotion,1,E0.6
133,❤️,Smileys & Emotion_emotion,shape,,,,,heart,red,,,red heart,2764 FE0F,fully-qualified,Smileys & Emotion,emotion,2,E0.6
134,❤,Smileys & Emotion_emotion,shape,,,,,heart,red,,,red heart,2764,unqualified,Smileys & Emotion,emotion,1,E0.6
135,🧡,Smileys & Emotion_emotion,shape,,,,,heart,orange,,,orange heart,1F9E1,fully-qualified,Smileys & Emotion,emotion,1,E5.0
136,💛,Smileys & Emotion_emotion,shape,,,,,heart,yellow,,,yellow heart,1F49B,fully-qualified,Smileys & Emotion,emotion,1,E0.6
137,💚,Smileys & Emotion_emotion,shape,,,,,heart,green,,,green heart,1F49A,fully-qualified,Smileys & Emotion,emotion,1,E0.6
138,💙,Smileys & Emotion_emotion,shape,,,,,heart,blue,,,blue heart,1F499,fully-qualified,Smileys & Emotion,emotion,1,E0.6
139,💜,Smileys & Emotion_emotion,shape,,,,,heart,purple,,,purple heart,1F49C,fully-qualified,Smileys & Emotion,emotion,1,E0.6
140,🤎,Smileys & Emotion_emotion,shape,,,,,heart,brown,,,brown heart,1F90E,fully-qualified,Smileys & Emotion,emotion,1,E12.0
141,🖤,Smileys & Emotion_emotion,shape,,,,,heart,black,,,black heart,1F5A4,fully-qualified,Smileys & Emotion,emotion,1,E3.0
142,🤍,Smileys & Emotion_emotion,shape,,,,,heart,white,,,white heart,1F90D,fully-qualified,Smileys & Emotion,emotion,1,E12.0
143,💯,Smileys & Emotion_emotion,,,,,,,,,,hundred points,1F4AF,fully-qualified,Smileys & Emotion,emotion,1,E0.6
144,💢,Smileys & Emotion_emotion,,,,,,,,,,anger symbol,1F4A2,fully-qualified,Smileys & Emotion,emotion,1,E0.6
145,💥,Smileys & Emotion_emotion,shape,,,,,star,varies,,,collision,1F4A5,fully-qualified,Smileys & Emotion,emotion,1,E0.6
146,💫,Smileys & Emotion_emotion,shape,,,,,star,yellow,,,dizzy,1F4AB,fully-qualified,Smileys & Emotion,emotion,1,E0.6
147,💦,Smileys & Emotion_emotion,,,,,,,,,,sweat droplets,1F4A6,fully-qualified,Smileys & Emotion,emotion,1,E0.6
148,💨,Smileys & Emotion_emotion,,,,,,,,,,dashing away,1F4A8,fully-qualified,Smileys & Emotion,emotion,1,E0.6
149,🕳️,Smileys & Emotion_emotion,,,,,,,,,,hole,1F573 FE0F,fully-qualified,Smileys & Emotion,emotion,2,E0.7
150,🕳,Smileys & Emotion_emotion,,,,,,,,,,hole,1F573,unqualified,Smileys & Emotion,emotion,1,E0.7
151,💣,Smileys & Emotion_emotion,,,,,,,,,,bomb,1F4A3,fully-qualified,Smileys & Emotion,emotion,1,E0.6
152,💬,Smileys & Emotion_emotion,,,,,,,,,,speech balloon,1F4AC,fully-qualified,Smileys & Emotion,emotion,1,E0.6
153,👁️‍🗨️,Smileys & Emotion_emotion,,,,,,,,,,eye in speech bubble,1F441 FE0F 200D 1F5E8 FE0F,fully-qualified,Smileys & Emotion,emotion,5,E2.0
154,👁‍🗨️,Smileys & Emotion_emotion,,,,,,,,,,eye in speech bubble,1F441 200D 1F5E8 FE0F,unqualified,Smileys & Emotion,emotion,4,E2.0
155,👁️‍🗨,Smileys & Emotion_emotion,,,,,,,,,,eye in speech bubble,1F441 FE0F 200D 1F5E8,unqualified,Smileys & Emotion,emotion,4,E2.0
156,👁‍🗨,Smileys & Emotion_emotion,,,,,,,,,,eye in speech bubble,1F441 200D 1F5E8,unqualified,Smileys & Emotion,emotion,3,E2.0
157,🗨️,Smileys & Emotion_emotion,,,,,,,,,,left speech bubble,1F5E8 FE0F,fully-qualified,Smileys & Emotion,emotion,2,E2.0
